"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MLG6CPW3","journalArticle","2000","Krusell, Per; Ohanian, Lee E.; Rios-Rull, Jose-Victor; Violante, Giovanni L.","Capital-Skill Complementarity and Inequality: A Macroeconomic Analysis","Econometrica","","","10.1111/1468-0262.00150","","","2000","2023-05-14 11:26:21","2023-06-16 23:45:24","","1029-1053","","5","68","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\5ES4X4RY\Capital-Skill Complementarity and Inequality - A Macroeconomic Analysis - Econometrica - 2000.pdf","","relevant; firm side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LADUQQP9","journalArticle","2004","Lindquist, Matthew J.","Capital-Skill Complementarity and Inequality over the Business Cycle","Review of Economic Dynamics","","10942025","10.1016/j.red.2003.11.001","https://linkinghub.elsevier.com/retrieve/pii/S1094202503001054","When capital–skill complementarity is present in the production process, changes in the skill premium are driven not only by changes in the ratio of unskilled to skilled labor inputs (as they are in the case with Cobb–Douglas production), but also by changes in the capital–skill ratio. A simple regression analysis demonstrates that the capital–skill ratio has a positive and signiﬁcant relation to the skill premium at business cycle frequencies as predicted by the capital–skill complementarity hypothesis. This ﬁnding motivates the construction of a stochastic dynamic general equilibrium model that allows for capital–skill complementarity in production. The model with capital–skill complementarity can account for the cyclical behavior of the skill premium and much of its volatility. The model without capital–skill complementarity cannot. These results, together with the available empirical evidence, suggest that capital–skill complementarity is an important determinant of wage inequality over the business cycle.","2004-07","2023-05-14 11:26:24","2023-06-15 18:53:08","2023-05-14 11:26:24","519-540","","3","7","","Review of Economic Dynamics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\66LNESDN\Capital-Skill Complementarity and Inequality over the Business Cycle - Review of Economic Dynamics - 2004.pdf","","not so relevant; firm side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XTRLWP6","journalArticle","1998","Goldin, C.; Katz, L. F.","The Origins of Technology-Skill Complementarity","The Quarterly Journal of Economics","","0033-5533, 1531-4650","10.1162/003355398555720","https://academic.oup.com/qje/article-lookup/doi/10.1162/003355398555720","","1998-08-01","2023-05-14 14:17:31","2023-06-15 18:37:21","2023-05-14 14:17:31","693-732","","3","113","","The Quarterly Journal of Economics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\NMV8ULHI\The Origins of Technology-Skill Complementarity - The Quarterly Journal of Economics - 1998.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVNTAXLD","journalArticle","1985","Heckman, James J.; Sedlacek, Guilherme","Heterogeneity, Aggregation, and Market Wage Functions: An Empirical Model of Self-Selection in the Labor Market","Journal of Political Economy","","0022-3808, 1537-534X","10.1086/261352","https://www.journals.uchicago.edu/doi/10.1086/261352","","1985-12","2023-05-14 16:19:31","2023-06-15 18:21:32","2023-05-14 16:19:31","1077-1125","","6","93","","Journal of Political Economy","Heterogeneity, Aggregation, and Market Wage Functions","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\MEN4CIV7\Heterogeneity, Aggregation, and Market Wage Functions - An Empirical Model of - Journal of Political Economy - 1985.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQ9MMH76","journalArticle","1992","Katz, Lawrence F.; Murphy, Kevin M.","Changes in Relative Wages, 1963-1987: Supply and Demand Factors","The Quarterly Journal of Economics","","","","","","1992","2023-05-14 16:19:32","2023-06-17 15:12:40","","35-78","","1","107","","","","","","","","","","en","","","","","Zotero","","","","E:\_Literature_Zotero\storage\GJMUXHRX\Changes in Relative Wages, 1963-1987 - Supply and Demand Factors - The Quarterly Journal of Economics - 1992.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ES7YXHCP","journalArticle","2014","Midrigan, Virgiliu; Xu, Daniel Yi","Finance and Misallocation: Evidence from Plant-Level Data","American Economic Review","","","10.1257/aer.104.2.422","","","2014","2023-05-14 21:29:27","2023-06-17 15:12:22","","422-458","","2","104","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\UIL7E9Q2\Finance and Misallocation - Evidence from Plant-Level Data - American Economic Review - 2014.pdf","","relevant; firm side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7C566DF","journalArticle","2021","De Nardi, Mariacristina; Fella, Giulio; Knoef, Marike; Paz-Pardo, Gonzalo; Van Ooijen, Raun","Family and Government Insurance: Wage, Earnings, and Income Risks in The Netherlands and the U.S.","Journal of Public Economics","","00472727","10.1016/j.jpubeco.2020.104327","https://linkinghub.elsevier.com/retrieve/pii/S0047272720301912","We document new facts about risk in male wages and earnings, household earnings, and pre- and posttax income in the Netherlands and the United States. We ﬁnd that, in both countries, earnings display important deviations from the typical assumptions of linearity and normality. Individual-level male wage and earnings risk is relatively high at the beginning and end of the working life, and for those in the lower and upper parts of the income distribution. Hours are the main driver of the negative skewness and, to a lesser extent, the high kurtosis of earnings changes. Even though we ﬁnd no evidence of added-worker effects, the presence of spousal earnings reduces the variability of household income compared to that of male earnings. In the Netherlands, government transfers are a major source of insurance, substantially reducing the standard deviation, negative skewness, and kurtosis of income changes. In the U.S. the role of family insurance is much larger than in the Netherlands. Family and government insurance reduce, but do not eliminate non-linearities in household disposable income by age and previous earnings in either country.","2021-01","2023-05-26 23:11:20","2023-06-15 18:17:40","2023-05-26 23:11:20","104327","","","193","","Journal of Public Economics","Family and government insurance","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\VWVPBTAK\Family and Government Insurance - Wage, Earnings, and Income Risks in The - Journal of Public Economics - 2021.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJ6ER5A6","journalArticle","2020","De Nardi, Mariacristina; Fella, Giulio; Paz-Pardo, Gonzalo","Nonlinear Household Earnings Dynamics, Self-Insurance, and Welfare","Journal of the European Economic Association","","1542-4766, 1542-4774","10.1093/jeea/jvz010","https://academic.oup.com/jeea/article/18/2/890/5421188","Abstract             Earnings dynamics are much richer than typically assumed in macro models with heterogeneous agents. This holds for individual-pre-tax and household-post-tax earnings and across administrative and survey data. We estimate two alternative processes for household after-tax earnings and study their implications using a standard life-cycle model. Both processes feature a persistent and a transitory component, but although the first one is the canonical linear process with stationary shocks, the second one has substantially richer earnings dynamics, allowing for age-dependence of moments, non-normality, and nonlinearity in previous earnings and age. Allowing for richer earnings dynamics implies a substantially better fit of the evolution of cross-sectional consumption inequality over the life cycle and of the individual-level degree of consumption insurance against persistent earnings shocks. The richer earnings process implies lower welfare costs of earnings risk.","2020-04-01","2023-05-26 23:11:22","2023-06-15 18:31:53","2023-05-26 23:11:22","890-926","","2","18","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\T7V9G5W6\Nonlinear Household Earnings Dynamics, Self-Insurance, and Welfare - Journal of the European Economic Association - 2020.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXAQWTAH","journalArticle","2017","Arellano, Manuel; Blundell, Richard; Bonhomme, Stéphane","Earnings and Consumption Dynamics: A Nonlinear Panel Data Framework","Econometrica","","0012-9682","10.3982/ECTA13795","https://www.econometricsociety.org/doi/10.3982/ECTA13795","We develop a new quantile-based panel data framework to study the nature of income persistence and the transmission of income shocks to consumption. Log-earnings are the sum of a general Markovian persistent component and a transitory innovation. The persistence of past shocks to earnings is allowed to vary according to the size and sign of the current shock. Consumption is modeled as an age-dependent nonlinear function of assets, unobservable tastes, and the two earnings components. We establish the nonparametric identiﬁcation of the nonlinear earnings process and of the consumption policy rule. Exploiting the enhanced consumption and asset data in recent waves of the Panel Study of Income Dynamics, we ﬁnd that the earnings process features nonlinear persistence and conditional skewness. We conﬁrm these results using population register data from Norway. We then show that the impact of earnings shocks varies substantially across earnings histories, and that this nonlinearity drives heterogeneous consumption responses. The framework provides new empirical measures of partial insurance in which the transmission of income shocks to consumption varies systematically with assets, the level of the shock, and the history of past shocks.","2017","2023-05-26 23:11:24","2023-06-15 18:16:41","2023-05-26 23:11:24","693-734","","3","85","","Econometrica","Earnings and Consumption Dynamics","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\G9RH5VPX\Earnings and Consumption Dynamics - A Nonlinear Panel Data Framework - Econometrica - 2017.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RDS8NEW","journalArticle","2018","Arellano, Manuel; Blundell, Richard; Bonhomme, Stephane","Nonlinear Persistence and Partial Insurance: Income and Consumption Dynamics in the PSID","AEA Papers and Proceedings","","2574-0768, 2574-0776","10.1257/pandp.20181049","https://pubs.aeaweb.org/doi/10.1257/pandp.20181049","In this paper we highlight the importance of the PSID in understanding income dynamics and consumption insurance. We explore the nonlinear nature of income shocks and describe a new quantile-based panel data framework for income dynamics. In this approach the persistence of past income shocks is allowed to vary according to the size and sign of the current shock. The model provides a good match with data and we confirm the results on population register data from Norway. Using the enhanced consumption and asset data in the PSID, nonlinear persistence is shown to have key implications for consumption insurance.","2018-05-01","2023-05-26 23:11:26","2023-06-15 18:31:56","2023-05-26 23:11:26","281-286","","","108","","AEA Papers and Proceedings","Nonlinear Persistence and Partial Insurance","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\AXTK3PAN\Nonlinear Persistence and Partial Insurance - Income and Consumption Dynamics in - AEA Papers and Proceedings - 2018.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9MYDM47","journalArticle","2016","De Nardi, Mariacristina; Fella, Giulio; Pardo, Gonzalo Paz","The Implications of Richer Earnings Dynamics for Consumption and Wealth","NBER Working Paper Series","","","","http://www.nber.org/papers/w21917.pdf","Earnings dynamics are much richer than those typically used in macro models with heterogenous agents. This paper provides multiple contributions. First, it proposes a simple non-parametric method to model rich earnings dynamics that is easy to estimate and introduce in structural models. Second, it applies our method to estimate a nonparametric earnings process using two data sets: the Panel Study of Income Dynamics and a large, synthetic, data set that matches the dynamics of the U.S. tax earnings. Third, it uses a life cycle model of consumption to compare the consumption and saving implications of our two estimated processes to those of a standard AR(1). We find that, unlike the standard AR(1) process, our estimated, richer earnings process generates an increase in consumption inequality over the life cycle that is consistent with the data and better fits the savings of the households at the bottom 60%of the wealth distribution.","2016-01","2023-05-26 23:11:28","2023-06-16 23:42:18","2023-05-26 23:11:28","1-63","","","w21917","","","","","","","","","","en","","","","","DOI.org (Crossref)","","DOI: 10.3386/w21917","","E:\_Literature_Zotero\storage\4F95NQRC\The Implications of Richer Earnings Dynamics for Consumption and Wealth - NBER Working Paper Series - 2016.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME9F644X","journalArticle","2006","Huggett, Mark; Ventura, Gustavo; Yaron, Amir","Human Capital and Earnings Distribution Dynamics","Journal of Monetary Economics","","","10.1016/j.jmoneco.2005.10.013","","","2006","2023-06-10 06:52:13","2023-06-16 23:44:19","","265-290","","2","53","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\MS6PW32Q\Human Capital and Earnings Distribution Dynamics - Journal of Monetary Economics - 2006.pdf","","relevant; on-the-job hc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GQVT5IF","journalArticle","2017","Mestieri, Martí; Schauer, Johanna; Townsend, Robert M.","Human Capital Acquisition and Occupational Choice: Implications for Economic Development","Review of Economic Dynamics","","10942025","10.1016/j.red.2017.02.001","https://linkinghub.elsevier.com/retrieve/pii/S1094202517300200","","2017-04","2023-06-15 10:10:58","2023-06-16 23:13:52","2023-06-15 10:10:58","151-186","","","25","","Review of Economic Dynamics","Human capital acquisition and occupational choice","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\IDZ3P6G9\Human Capital Acquisition and Occupational Choice - Implications for Economic - Review of Economic Dynamics - 2017.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q649LTP8","journalArticle","2010","Sullivan, Paul","A Dynamic Analysis on Educational Attainment, Occupational Choices, and Job Search","International Economic Review","","","10.1111/j.1468-2354.2009.00580.x","","","2010","2023-06-15 10:18:07","2023-06-16 23:46:30","","289-317","","1","51","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\C8G8KJJX\A Dynamic Analysis on Educational Attainment, Occupational Choices, and Job - International Economic Review - 2010.pdf","","not so relevant; occupational choice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVNGULGE","journalArticle","2009","Sullivan, Paul","Estimation of an Occupational Choice Model when Occupations are Misclassiﬁed","Journal of Human Resources","","","https://doi.org/10.3368/jhr.44.2.495","","This paper develops an empirical occupational choice model that corrects for misclassiﬁcation in occupational choices and measurement error in occupation-speciﬁc work experience. The model is used to estimate the extent of measurement error in occupation data and quantify the bias that results from ignoring measurement error in occupation codes when studying the determinants of occupational choices and estimating the effects of occupation-speciﬁc human capital on wages. The parameter estimates reveal that 9 percent of occupational choices in the 1979 cohort of the NLSY are misclassiﬁed. Ignoring misclassiﬁcation leads to biases that affect the conclusions drawn from empirical occupational choice models.","2009","2023-06-15 10:18:09","2023-06-15 17:57:33","","495-535","","2","44","","","","","","","","","","en","","","","","Zotero","","","","E:\_Literature_Zotero\storage\DETCJ9VB\Estimation of an Occupational Choice Model when Occupations are Misclassiﬁed - Journal of Human Resources - 2009.pdf","","not so relevant; occupational choice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73U4AF7M","journalArticle","2017","McKay, Alisdair","Time-Varying Idiosyncratic Risk and Aggregate Consumption Dynamics","Journal of Monetary Economics","","03043932","10.1016/j.jmoneco.2017.05.002","https://linkinghub.elsevier.com/retrieve/pii/S0304393217300430","","2017-06","2023-06-15 17:41:59","2023-06-15 18:38:16","2023-06-15 17:41:59","1-14","","","88","","Journal of Monetary Economics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\A4QA672G\Time-Varying Idiosyncratic Risk and Aggregate Consumption Dynamics - Journal of Monetary Economics - 2017.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LT6JEF7M","journalArticle","2016","Nirei, Makoto; Aoki, Shuhei","Pareto Distribution of Income in Neoclassical Growth Models","Review of Economic Dynamics","","10942025","10.1016/j.red.2015.11.002","https://linkinghub.elsevier.com/retrieve/pii/S1094202515000691","","2016-04","2023-06-15 17:44:03","2023-06-15 18:33:40","2023-06-15 17:44:03","25-42","","","20","","Review of Economic Dynamics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\N3QUY4GY\Pareto Distribution of Income in Neoclassical Growth Models - Review of Economic Dynamics - 2016.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NINMUVAL","journalArticle","2018","Gomes, Pedro","Heterogeneity and the Public Sector Wage Policy","International Economic Review","","00206598","10.1111/iere.12310","https://onlinelibrary.wiley.com/doi/10.1111/iere.12310","","2018-08","2023-06-15 18:42:43","2023-06-15 18:45:50","2023-06-15 18:42:43","1469-1489","","3","59","","International Economic Review","HETEROGENEITY AND THE PUBLIC SECTOR WAGE POLICY","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\MQWHCNW3\Heterogeneity and the Public Sector Wage Policy - International Economic Review - 2018.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKL5JVBB","journalArticle","2020","Todd, Petra E.; Zhang, Weilong","A Dynamic Model of Personality, Schooling, and Occupational Choice","Quantitative Economics","","","10.3982/QE890","","","2020","2023-06-15 18:42:45","2023-06-16 23:46:26","","231-275","","1","11","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\B6IW92LQ\A Dynamic Model of Personality, Schooling, and Occupational Choice - Quantitative Economics - 2020.pdf","","not so relevant; occupational choice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R224LJ8R","journalArticle","2020","Hincapié, Andrés","Entrepreneurship over the Life Cycle: Where are the Young Entrepreneurs?","International Economic Review","","0020-6598, 1468-2354","10.1111/iere.12436","https://onlinelibrary.wiley.com/doi/10.1111/iere.12436","","2020-05","2023-06-15 18:42:47","2023-06-15 18:44:47","2023-06-15 18:42:47","617-681","","2","61","","International Economic Review","ENTREPRENEURSHIP OVER THE LIFE CYCLE","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\DECQI778\Entrepreneurship over the Life Cycle - Where are the Young Entrepreneurs - International Economic Review - 2020.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LV5RKAVL","journalArticle","2013","Restuccia, Diego; Vandenbroucke, Guillaume","The Evolution of Education: A Macroeconomic Analysis","International Economic Review","","00206598","10.1111/iere.12022","https://onlinelibrary.wiley.com/doi/10.1111/iere.12022","","2013-08","2023-06-15 18:42:49","2023-06-16 23:29:17","2023-06-15 18:42:49","915-936","","3","54","","International Economic Review","THE EVOLUTION OF EDUCATION","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\QICYF989\The Evolution of Education - A Macroeconomic Analysis - International Economic Review - 2013.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RCCRXTI","journalArticle","2020","Böhm, Michael J.","The Price of Polarization: Estimating Task Prices under Routine-Biased Technical Change","Quantitative Economics","","","https://doi.org/10.3982/QE1031","","","2020","2023-06-15 18:45:58","2023-06-15 18:50:34","","761-799","","2","11","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\BXF4FEAR\The Price of Polarization - Estimating Task Prices under Routine-Biased - Quantitative Economics - 2020.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMXE6KS5","journalArticle","2014","Amior, Michael; Halket, Jonathan","Do Households Use Home-Ownership to Insure Themselves? Evidence across U.S. Cities","Quantitative Economics","","","https://doi.org/10.3982/QE346","","","2014","2023-06-15 18:45:59","2023-06-15 18:49:02","","631–674","","3","5","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\7M49HW44\Do Households Use Home-Ownership to Insure Themselves - Evidence across U.S. - Quantitative Economics - 2014.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X827LGIH","journalArticle","1997","Keane, Michael P.; Wolpin, Kenneth I.","The Career Decisions of Young Men","Journal of Political Economy","","","10.1086/262080","","","1997","2023-06-16 10:24:59","2023-06-17 00:01:18","","473-522","","3","105","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\4IS36E7R\The Career Decisions of Young Men - Journal of Political Economy - 1997.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HADMBAYA","journalArticle","2019","Liu, Kai","Wage Risk and the Value of Job Mobility in Early Employment Careers","Journal of Labor Economics","","","10.1086/698898","","","2019","2023-06-16 19:34:33","2023-06-16 23:42:24","","139-185","","1","37","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\A935JD54\Wage Risk and the Value of Job Mobility in Early Employment Careers - Journal of Labor Economics - 2019.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XLZ3KPZN","journalArticle","2009","Vereshchagina, Galina; Hopenhayn, Hugo A.","Risk Taking by Entrepreneurs","American Economic Review","","0002-8282","10.1257/aer.99.5.1808","https://pubs.aeaweb.org/doi/10.1257/aer.99.5.1808","Entrepreneurs bear substantial risk, but empirical evidence shows no sign of a positive premium. This paper develops a theory of endogenous entrepreneurial risk taking that explains why self-financed entrepreneurs may find it optimal to invest in risky projects offering no risk premium. Consistently with empirical evidence, the model predicts that poorer entrepreneurs are more likely to undertake risky projects. It also finds that incentives for risk taking are stronger when agents are impatient. (JEL G31, G32, L25, L26)","2009-12-01","2023-06-16 19:34:35","2023-06-16 19:37:30","2023-06-16 19:34:35","1808-1830","","5","99","","American Economic Review","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\2YH7IB89\Risk Taking by Entrepreneurs - American Economic Review - 2009.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TLYJ4SPP","journalArticle","2014","Guvenen, Fatih; Smith, Anthony A.","Inferring Labor Income Risk and Partial Insurance From Economic Choices: Inferring Labor Income Risk and Partial Insurance","Econometrica","","00129682","10.3982/ECTA9446","http://doi.wiley.com/10.3982/ECTA9446","This paper uses the information contained in the joint dynamics of individuals’ labor earnings and consumption-choice decisions to quantify both the amount of income risk that individuals face and the extent to which they have access to informal insurance against this risk. We accomplish this task by using indirect inference to estimate a structural consumption–savings model, in which individuals both learn about the nature of their income process and partly insure shocks via informal mechanisms. In this framework, we estimate (i) the degree of partial insurance, (ii) the extent of systematic differences in income growth rates, (iii) the precision with which individuals know their own income growth rates when they begin their working lives, (iv) the persistence of typical labor income shocks, (v) the tightness of borrowing constraints, and (vi) the amount of measurement error in the data. In implementing indirect inference, we ﬁnd that an auxiliary model that approximates the true structural equations of the model (which are not estimable) works very well, with negligible small sample bias. The main substantive ﬁndings are that income shocks are moderately persistent, systematic differences in income growth rates are large, individuals have substantial amounts of information about their income growth rates, and about one-half of income shocks are smoothed via partial insurance. Putting these ﬁndings together, the amount of uninsurable lifetime income risk that individuals perceive is substantially smaller than what is typically assumed in calibrated macroeconomic models with incomplete markets.","2014-11","2023-06-16 19:34:37","2023-06-16 23:29:47","2023-06-16 19:34:37","2085-2129","","6","82","","Econometrica","Inferring Labor Income Risk and Partial Insurance From Economic Choices","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\U8B8AMAC\Inferring Labor Income Risk and Partial Insurance From Economic Choices - - Econometrica - 2014.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HGIRQPMR","journalArticle","2013","Altonji, Joseph G.; Smith, Anthony A.; Vidangos, Ivan","Modeling Earnings Dynamics","Econometrica","","","10.3982/ECTA8415","","","2013","2023-06-16 19:34:39","2023-06-16 23:49:29","","1395-1454","","4","81","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\5YXNJFQ9\Modeling Earnings Dynamics - Econometrica - 2013.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7AXAEY56","journalArticle","2002","Moffitt, Robert A.; Gottschalk, Peter","Trends in the Transitory Variance of Earnings in the United States","The Economic Journal","","0013-0133, 1468-0297","10.1111/1468-0297.00025","https://academic.oup.com/ej/article/112/478/C68/5085594","","2002-03-01","2023-06-16 19:34:40","2023-06-16 19:36:27","2023-06-16 19:34:40","C68-C73","","478","112","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\8TU8KAB4\Trends in the Transitory Variance of Earnings in the United States - The Economic Journal - 2002.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUIRFEP8","journalArticle","2019","Dvorkin, Maximiliano A.; Monge-Naranjo, Alexander","Occupation Mobility, Human Capital and the Aggregate Consequences of Task-Biased Innovations","Federal Reserve Bank of St. Louis Working Paper","","","10.20955/wp.2019.013","","","2019","2023-06-16 21:36:55","2023-06-17 14:13:07","","1-91","","","","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\6AN5WDJ9\Occupation Mobility, Human Capital and the Aggregate Consequences of - Federal Reserve Bank of St. Louis Working Paper - 2019.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQLDWJW2","journalArticle","2006","Lee, Donghoon; Wolpin, Kenneth I.","Intersectoral Labor Mobility and the Growth of the Service Sector","Econometrica","","","10.1111/j.1468-0262.2006.00648.x","","","2006","2023-06-16 21:52:52","2023-06-16 23:43:29","","1-46","","1","74","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\IASN6LLE\Intersectoral Labor Mobility and the Growth of the Service Sector - Econometrica - 2006.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2ZQT8Z2","journalArticle","2011","Song, Zheng; Storesletten, Kjetil; Zilibotti, Fabrizio","Growing Like China","American Economic Review","","","10.1257/aer.101.1.196","","","2011","2023-06-17 00:14:08","2023-06-17 00:14:41","","196-233","","1","101","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\7M5TC536\Growing Like China - American Economic Review - 2011.pdf","","relevant; firm side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIKE8B3Z","journalArticle","1999","Aghion, P.; Banerjee, A.; Piketty, T.","Dualism and Macroeconomic Volatility","The Quarterly Journal of Economics","","","10.1162/003355399556296","","","1999","2023-06-17 21:23:07","2023-06-18 08:14:00","","1359-1397","","4","114","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\DZ8JL9CR\Dualism and Macroeconomic Volatility - The Quarterly Journal of Economics - 1999.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPYKEA7J","journalArticle","1997","Kiyotaki, Nobuhiro; Moore, John","Credit Cycles","Journal of Political Economy","","","10.1086/262072","","","1997","2023-06-17 21:23:08","2023-06-17 21:26:44","","211-248","","2","105","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\HG7AG8VJ\Credit Cycles - Journal of Political Economy - 1997.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
